,Бюджет 2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,январь,,февраль,,март,,апрель,,май,,июнь,,июль,,август,,сентябрь,,октябрь,,ноябрь,,декабрь,,ИТОГО,,,,,
,источник доходов,план,факт,план,факт,план,факт,план,факт,план,факт,план,факт,план,факт,план,факт,план,факт,план,факт,план,факт,план,факт,план,факт,,,,
,зарплата,150 000,0,200 000,200 000,200 000,200 000,200 000,200 000,200 000,200 000,200 000,200 000,200 000,200 000,200 000,200 000,200 000,200 000,200 000,200 000,200 000,200 000,200 000,200 000,2 350 000,2 200 000,,,,
,займ,50 000,0,100 000,0,150 000,60 000,140 000,50 000,140 000,260 000,50 000,0,50 000,50 000,50 000,140 000,150 000,0,0,0,,0,45 000,45 000,925 000,605 000,,,,
,терминал,20 000,55 000,50 000,25 000,25 000,30 000,50 000,58 000,30 000,33 000,30 000,0,0,0,0,0,0,0,0,0,,0,,0,205 000,201 000,,,,
,консалтинг,,,0,0,70 000,30 000,100 000,0,200 000,105 000,400 000,27 000,85 000,85 000,140 000,100 000,200 000,95 000,100 000,0,100 000,20 000,270 000,280 000,1 665 000,742 000,,,,
,бомонд,30 000,25 000,10 000,31 000,30 000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,80 000,,0,70 000,136 000,,,,
,ИТОГО,250 000,80 000,360 000,256 000,475 000,320 000,490 000,308 000,570 000,598 000,680 000,227 000,335 000,335 000,390 000,440 000,550 000,295 000,300 000,200 000,300 000,300 000,515 000,525 000,5 215 000,3 884 000,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ДЕЛЬТА,-185 000,-266 096,42 500,2 164,61 000,84 650,-82 000,-2 184,72 500,167 871,-99 000,-159 890,16 300,28 907,84 000,-50 936,230 500,17 317,-64 000,-131 928,53 000,-108 975,58 000,122 238,187 800,-296 862,,,,
,Общая таблица учета и планирования расходов на год,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,январь,,февраль,,март,,апрель,,май,,июнь,,июль,,август,,сентябрь,,октябрь,,ноябрь,,декабрь,,ИТОГО,,,,,
,статья расходов,план,факт,план,факт,план,факт,план,факт,план,факт,план,факт,план,факт,план,факт,план,факт,план,факт,план,факт,план,факт,план,факт,,,,
,ЕДА,20 000,16 020,20 000,21 457,20 000,11 600,20 000,24 200,20 000,24 596,25 000,22 244,25 000,25 320,25 000,21 200,25 000,32 000,30 000,35 629,35 000,30 607,45 000,45 603,310 000,310 476,,,,
,КОММУНАЛКА,33 000,31 310,35 000,34 420,35 000,24 385,35 000,1 160,33 000,31 245,32 000,35 325,32 000,28 160,32 000,33 600,33 000,30 000,27 000,29 560,30 000,28 975,28 000,"20 980,00",385 000,329 120,,,,
,АЗС,10 000,12 253,10 000,2 700,10 000,9 600,10 000,9 200,10 000,9 557,10 000,6 732,10 000,7 000,10 000,7 030,7 000,4 960,5 000,4 577,7 000,8 567,10 000,12 549,109 000,94 725,,,,
,ТРАНСПОРТ,5 000,2 747,5 000,1 582,5 000,2 060,5 000,9 000,5 000,4 590,5 000,3 675,5 000,923,5 000,0,3 000,6 823,3 000,3 093,3 000,6 019,5 000,7 209,54 000,47 721,,,,
,ДЕТИ,20 000,26 470,20 000,19 300,20 000,26 275,25 000,23 700,25 000,22 220,25 000,26 900,25 000,58 750,25 000,34 250,25 000,26 000,25 000,22 490,25 000,37 040,30 000,25 707,290 000,349 102,,,на сегодня,
,МЕДИЦИНА,10 000,20 860,10 000,13 300,30 000,6 300,50 000,44 650,50 000,66 840,20 000,27 113,10 000,2 230,5 000,8 000,5 000,1 000,5 000,4 000,25 000,46 419,10 000,7 338,230 000,248 050,,,,
,СОБАКА,4 000,3 850,2 000,1 400,5 000,2 700,5 000,3 200,4 000,10 300,5 000,3 750,5 000,4 770,5 000,3 000,5 000,2 250,4 000,4 022,5 000,6 614,4 000,4 800,53 000,50 656,,остаток долга на 01.01,план,факт
,"ШТРАФЫ,НАЛОГИ",2 000,200,2 000,966,2 000,0,1 500,504,2 000,252,1 000,0,2 000,1 260,2 000,2 014,0,0,2 000,252,0,750,5 000,5 993,21 500,12 191,,,-21 500,-12 191
,Анечка,,,,,,,,,,,,,20 000,18 820,20 000,10 500,15 000,6 000,50 000,54 473,10 000,6 000,25 000,24 384,140 000,120 177,,,,
,"ГИГИЕНА,КРАСОТА",2 500,3 100,3 000,1 800,2 000,1 750,5 000,4 800,4 500,3 475,3 500,0,3 500,3 455,5 000,46 050,3 500,0,15 000,3 600,0,0,0,0,47 500,68 030,,,,
," РЕСТОРАН ,КАФЕ",10 000,8 100,10 000,7 000,5 000,20 560,25 000,54 510,0,47 225,25 000,52 270,30 000,32 030,30 000,40 057,50 000,30 922,35 000,35 292,25 000,16 578,50 000,49 917,295 000,394 461,,,,
,"ОДЕЖДА,ОБУВЬ",0,5 740,0,0,0,8 300,10 000,17 628,10 000,2 750,20 000,20 750,10 000,6 700,0,13 100,0,0,30 000,15 099,0,18 600,60 000,53 292,140 000,161 959,,,,
,ХОЗ.ТОВАРЫ,0,2 000,2 000,1 500,0,807,1 500,1 500,0,550,0,10 111,0,3 100,0,550,0,2 122,0,5 280,0,0,5 000,8 461,8 500,35 981,,,,
,"БЫТ.ТЕХНИКА,ГАДЖЕТ",0,0,0,80 000,0,5 600,0,0,0,1 800,0,1 000,0,0,0,0,0,0,0,0,0,12 000,0,0,0,100 400,,,,
,РАЗВЛЕЧЕНИЯ,5 000,1 200,0,0,0,700,0,875,0,16 245,15 000,0,5 000,5 400,5 000,0,5 000,0,5 000,7 700,15 000,0,15 000,21 950,70 000,54 070,,,,
,СПОРТ,3 000,2 000,5 000,12 500,10 000,5 600,6 000,6 000,6 000,9 340,6 000,6 350,6 000,7 000,6 000,600,6 000,6 000,6 000,6 000,6 000,12 500,6 000,6 000,72 000,79 890,,,,
,ОБРАЗОВАНИЕ,8 500,8 100,8 500,10 950,30 000,10 200,10 000,10 500,10 000,24 000,8 500,8 200,8 200,18 755,8 500,69 700,10 000,41 306,20 000,9 900,0,3 000,0,0,122 200,214 611,,,,
,КОФЕ,0,990,0,1 390,0,3 130,0,3 020,1 000,2 060,2 000,2 120,2 000,2 000,2 000,1 185,2 000,0,2 000,1 117,1 000,3 314,1 000,828,13 000,21 154,,,,
,АЛКАШКА,0,8 000,0,0,0,0,0,0,0,1 000,0,2 000,0,0,0,0,0,0,0,800,0,0,5 000,6 503,5 000,18 303,,,,
,ПОДАРКИ,10 000,10 800,5 000,0,5 000,8 658,0,0,5 000,3 000,0,5 700,0,0,0,5 000,0,0,0,,0,2 800,3 000,3 000,28 000,38 958,,,,
,БЛАГОТВОРИТЕЛЬНОСТЬ,2 000,1 535,0,0,0,0,0,3 000,0,100,3 000,0,0,0,0,0,0,0,0,,0,0,0,0,5 000,4 635,,,,
,ПУТЕШЕСТВИЯ,150 000,160 000,0,0,10 000,0,0,3 600,0,0,0,0,0,0,0,107 700,25 000,13 800,20 000,15 922,0,17 000,65 000,61 105,270 000,379 127,,,,
,ОФИС,0,0,0,0,25 000,23 200,23 000,20 000,22 000,23 500,23 000,20 000,20 000,20 420,20 500,0,0,0,0,,0,0,0,,133 500,107 120,,,,
,РАСХОД НА БИЗНЕС,10 000,20,0,12 856,20 000,40 350,80 000,63 137,30 000,34 346,30 000,74 650,50 000,50 000,50 000,60 400,50 000,59 500,40 000,28 660,10 000,10 172,5 000,5 000,375 000,439 091,,,,
,ИНВЕСТИЦИИ,50 000,20 801,100 000,30 715,100 000,23 575,100 000,6 000,100 000,91 138,270 000,58 000,50 000,10 000,50 000,27 000,50 000,15 000,40 000,44 462,50 000,69 020,80 000,32 143,1 040 000,427 854,,,,
,ПОДУШКА,50 000,0,50 000,0,50 000,0,100 000,,100 000,,150 000,0,0,0,,,,,0,,,38 000,,,500 000,38 000,,,,
,КОПИЛКА НА ПУТЕШЕ,20 000,0,20 000,0,20 000,0,50 000,,50 000,,100 000,0,0,0,,,,,0,,,,,,260 000,0,,,,
,ХОТЕЛКИ,10 000,0,10 000,0,10 000,0,10 000,,10 000,,,0,0,0,,,,,0,,,,,,50 000,0,,,,
,Страховка,,,,,,,,,,,,,,,,,,,,,,35 000,,,0,35 000,,,,
,ИТОГО,435 000,346 096,317 500,253 836,414 000,235 350,572 000,310 184,497 500,430 129,779 000,386 890,318 700,306 093,306 000,490 936,319 500,277 683,364 000,331 928,247 000,408 975,457 000,402 762,5 027 200,4 180 862,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Еда,30 000,декабрь,,,,,,,,,,,,,,,,,,,,,,,,,,
